model_name,task,target,eval_split,train_size,val_size,test_size,accuracy,macro_f1,weighted_f1,mae,rmse,r2
ridge,regression,valence,val,94725,17952,17318,,,,0.1581095813372906,0.1937933322254943,0.24316521970850702
ridge,regression,valence,test,94725,17952,17318,,,,0.17660809807502342,0.21533588095534156,0.2411690124726532
ridge,regression,arousal,val,94725,17952,17318,,,,0.16842331499035423,0.21229856281373607,0.391025087397854
ridge,regression,arousal,test,94725,17952,17318,,,,0.1633243632543079,0.20202126401839085,0.5255122449158143
random_forest_regressor,regression,valence,val,94725,17952,17318,,,,0.15566514818113547,0.19073845620144247,0.2668379995361454
random_forest_regressor,regression,valence,test,94725,17952,17318,,,,0.17214660006880972,0.21184718119037485,0.2655577811811365
random_forest_regressor,regression,arousal,val,94725,17952,17318,,,,0.159511768606314,0.19978044616798368,0.4607238037830216
random_forest_regressor,regression,arousal,test,94725,17952,17318,,,,0.15828510874354493,0.1976770949857655,0.5456991583967736
gradient_boosting_regressor,regression,valence,val,94725,17952,17318,,,,0.1571923653216945,0.1926368432461145,0.25217130284793177
gradient_boosting_regressor,regression,valence,test,94725,17952,17318,,,,0.17312822678868414,0.21222331509754705,0.2629474669062989
gradient_boosting_regressor,regression,arousal,val,94725,17952,17318,,,,0.15958308107366215,0.199480002784895,0.4623445843759869
gradient_boosting_regressor,regression,arousal,test,94725,17952,17318,,,,0.1558892234267302,0.19562238600252488,0.5550943260434826
